mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Novel,Preinduction,Novel_interaction,0.012071044703558242,5
376,NE,Novel,Preinduction,Social_interaction,1.066375917856994,6
372,NE,Novel,Preinduction,Novel_interaction,0.7766037952915457,9
372,NE,Novel,Preinduction,Social_interaction,0.9398762025366618,5
423,NE,Novel,Preinduction,Social_interaction,1.2470158410928611,3
584,NE,Novel,Preinduction,Novel_interaction,0.5966136168545589,11
584,NE,Novel,Preinduction,Social_interaction,-0.4624746395748631,5
450,NE,Novel,Preinduction,Novel_interaction,-0.10374255315447498,5
450,NE,Novel,Preinduction,Social_interaction,-0.09814961995756706,3
597,NE,Novel,Preinduction,Novel_interaction,3.0604991104848285,4
597,NE,Novel,Preinduction,Social_interaction,0.282853928187609,4
459,NE,Novel,Preinduction,Novel_interaction,2.5648033981857066,2
459,NE,Novel,Preinduction,Social_interaction,0.453152876191961,6
398,NE,Novel,Preinduction,Novel_interaction,1.4940590937875986,1
398,NE,Novel,Preinduction,Social_interaction,0.9844375819706397,1
400,NE,Novel,Preinduction,Novel_interaction,0.10893215042955115,10
400,NE,Novel,Preinduction,Social_interaction,-0.01636346592051665,5
376,NE,Novel,W1,Novel_interaction,1.4252962771141848,7
376,NE,Novel,W1,Social_interaction,0.39755146816828596,3
372,NE,Novel,W1,Novel_interaction,3.235509019307944,8
372,NE,Novel,W1,Social_interaction,0.07918973808325298,3
423,NE,Novel,W1,Novel_interaction,3.1019635036372515,5
423,NE,Novel,W1,Social_interaction,1.1800045202696583,4
584,NE,Novel,W1,Novel_interaction,3.1647880102690404,1
584,NE,Novel,W1,Social_interaction,0.007458323007634925,9
450,NE,Novel,W1,Novel_interaction,-0.6190311941603198,8
450,NE,Novel,W1,Social_interaction,-0.5308169928570491,7
597,NE,Novel,W1,Novel_interaction,0.6181002927855317,3
597,NE,Novel,W1,Social_interaction,-0.32546504073736904,7
459,NE,Novel,W1,Novel_interaction,0.9238988138653572,4
459,NE,Novel,W1,Social_interaction,0.5377360558218633,13
398,NE,Novel,W1,Novel_interaction,0.6765153337752801,6
398,NE,Novel,W1,Social_interaction,1.9984859970906186,6
400,NE,Novel,W1,Novel_interaction,0.24788222181109643,16
400,NE,Novel,W1,Social_interaction,0.08445974598841455,2
376,NE,Novel,W2,Novel_interaction,0.7413441956794043,9
376,NE,Novel,W2,Social_interaction,0.6639186371584085,13
372,NE,Novel,W2,Novel_interaction,0.42861748457999105,8
372,NE,Novel,W2,Social_interaction,1.649585175314219,2
423,NE,Novel,W2,Novel_interaction,0.9509914913143622,12
423,NE,Novel,W2,Social_interaction,0.34978648110029226,5
459,NE,Novel,W2,Novel_interaction,0.5345597480315833,5
459,NE,Novel,W2,Social_interaction,0.8633682678043424,10
398,NE,Novel,W2,Novel_interaction,0.8020365027342801,12
398,NE,Novel,W2,Social_interaction,1.5159633157123442,3
400,NE,Novel,W2,Novel_interaction,-0.0999329159822514,5
400,NE,Novel,W2,Social_interaction,-0.5045856365693677,14
584,NE,Novel,W2,Novel_interaction,-0.7598325924310926,14
584,NE,Novel,W2,Social_interaction,-0.5135781200068654,13
450,NE,Novel,W2,Novel_interaction,0.19827126884863738,17
450,NE,Novel,W2,Social_interaction,-0.4499806134541967,8
597,NE,Novel,W2,Novel_interaction,0.8794742805999908,8
597,NE,Novel,W2,Social_interaction,0.6527810335749069,9
